,id,qid1,qid2,Clean_q1_lem,Clean_q2_lem,is_duplicate,q1_len,q2_len,q1_num_words,q2_num_words,word_common,word_total,word_share,cwc_min,cwc_max,csc_min,csc_max,ctc_min,ctc_max,last_word_eq,first_word_eq,abs_len_diff,mean_len,longest_substr_ratio,fuzz_ratio,fuzz_partial_ratio,token_sort_ratio,token_set_ratio
383061,383061,194564,514969,how do i dress well as a teenage guy,how should i dress well as an 18 year old guy,1,36,45,9,11,6,20,0.3,0.8333194446759221,0.6249921875976551,0.3333222225925802,0.3333222225925802,0.6666592593415629,0.545449586821938,1,1,2,10.0,0.47368421052631576,74,73,64,78
182255,182255,24571,91408,what is the feeling of having sex for the first time,what it is like to have sex first time,1,52,38,11,9,5,19,0.26,0.5999880002399952,0.5999880002399952,0.0,0.0,0.33332962967078145,0.2999970000299997,1,0,1,9.5,0.3,65,62,58,67
27635,27635,7504,51325,can i hate homosexuality but not homosexuals,what is homosexuality,0,44,21,7,3,1,10,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,5.0,0.6086956521739131,52,77,52,76
329152,329152,406014,455781,how can i get my android phone s cracked screen replaced  what will be the estimated cost and repair time when i take it to a service center,i dropped a tv and it broke  cracking the plastic back  the screen does not appear to be broken though  how much would it cost to repair,0,140,136,29,30,12,53,0.23,0.24999843750976558,0.23529273357215547,0.7499906251171861,0.5999940000599994,0.3703689986333384,0.3703689986333384,0,0,0,27.0,0.057971014492753624,38,38,54,54
223084,223084,10382,292371,i forgot my facebook password and email password  how can i log into facebook,how can i retrieve my facebook password,0,77,39,15,7,6,19,0.32,0.5999880002399952,0.33332962967078145,0.9999500024998749,0.49998750031249223,0.7142755103498521,0.35714030614067044,0,0,7,10.5,0.5121951219512195,43,62,56,87
131852,131852,98316,195869,which is the best haier refrigerator service center in hyderabad,where is the best haier microwave oven service center in hyderabad,0,64,66,10,11,8,21,0.38,0.14285510206997043,0.124998437519531,0.9999666677777407,0.9999666677777407,0.39999600003999963,0.363633057881292,0,0,1,10.5,0.19696969696969696,80,73,80,83
363476,363476,24118,33833,what do you think of the government s move of banning old rs  500   rs  1k notes,is this move of banning 500   1k rupee notes right,1,80,50,21,12,7,27,0.26,0.5555493827846357,0.454541322351615,0.49997500124993743,0.24999375015624611,0.545449586821938,0.35293910035823317,0,0,6,14.0,0.3333333333333333,57,70,61,75
85385,85385,144174,144175,outside the stereotypical death element  what are some other reasons for a person s interest in skulls,what famous person had the most tragic death,0,102,44,18,8,4,26,0.15,0.0,0.0,0.3333222225925802,0.124998437519531,0.124998437519531,0.062499609377441395,0,0,8,12.0,0.15217391304347827,32,47,37,65
122112,122112,197727,197728,how does the happn app know where my location is when the app is closed on ios,how does the happn app deal with stalking,0,78,41,17,8,5,22,0.23,0.5999880002399952,0.4285653062099113,0.6666444451851604,0.28571020413994086,0.6249921875976551,0.29411591696519435,0,1,9,12.5,0.5348837209302325,54,62,52,70
211376,211376,316197,316198,why did gandalf come back,should i go for android development or data science or python programming or machine learning,0,25,93,5,15,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,10.0,0.1111111111111111,25,46,20,21
273881,273881,392417,140680,what is difference between rational and fraction numbers,what is the difference between fractions and rational numbers,1,56,61,8,9,7,17,0.41,0.7999840003199936,0.7999840003199936,0.9999666677777407,0.7499812504687383,0.874989062636717,0.7777691358984901,1,1,1,8.5,0.3448275862068966,74,68,96,96
401911,401911,428280,535359,how much money does an uber driver make in san francisco,uber  company   how much does it cost to take uberx from menlo park to sfo,0,56,74,11,18,4,26,0.15,0.37499531255859303,0.2999970000299997,0.3333222225925802,0.24999375015624611,0.363633057881292,0.2666648889007407,0,0,4,13.0,0.15517241379310345,40,49,54,56
173264,173264,267322,267323,why in some cases spin forbidden transitions are also allowed  although their molar absorption co efficient is very less,what is the importance of molar mass,0,120,36,20,7,2,27,0.07,0.24999375015624611,0.08333263889467588,0.3333222225925802,0.1666638889351844,0.28571020413994086,0.11111049383058984,0,0,11,12.5,0.18421052631578946,27,43,34,36
300875,300875,301807,423718,what does  omorashi  mean in japanese,what does this mean in japanese  このたびはご愁傷さまでございます,0,37,49,8,8,6,15,0.4,0.49998750031249223,0.49998750031249223,0.9999500024998749,0.6666444451851604,0.6666555557407376,0.5714204082798817,0,1,1,6.5,0.4358974358974359,67,76,70,85
385864,385864,518025,518026,how do you prepare for an abercrombie and fitch group interview,how do i prepare for sony r   d group internship interview,0,63,58,11,13,6,23,0.26,0.49999166680555324,0.2999970000299997,0.9999500024998749,0.3999920001599968,0.454541322351615,0.4166631944733794,1,1,1,11.5,0.21666666666666667,68,58,64,76
143726,143726,227645,227646,what is the best thing to do when someone chokes on water,can you choke someone to death using a dental floss,0,57,51,12,10,2,22,0.09,0.1666638889351844,0.14285510206997043,0.3333222225925802,0.1666638889351844,0.19999800001999982,0.16666527778935175,0,0,2,11.0,0.16981132075471697,30,47,48,44
53555,53555,94660,94661,what should i do if my significant other does not respect my family,how do i deal with a friend  who does not respect me,0,67,52,13,13,5,25,0.2,0.3999920001599968,0.3333277778703688,0.3999920001599968,0.3333277778703688,0.363633057881292,0.3333305555787035,0,0,1,11.5,0.33962264150943394,53,56,52,57
365072,365072,495165,495166,why do people dance on mahamantra and when it  started or where it is originated from,why do people dance on mahamantra and when it is started or where is this originated from,1,85,89,17,17,15,32,0.47,0.999985714489793,0.874989062636717,0.999987500156248,0.8888790124554172,0.9374941406616208,0.8823477508955829,1,1,1,16.5,0.5172413793103449,97,93,96,100
403180,403180,500600,536751,how do i merge data from multiple data sources to feed my business dashboards,how should a circuit be designed to pull tens hundreds of data points from multiple sources continuously,0,77,104,14,17,6,30,0.2,0.4444395062277086,0.39999600003999963,0.49998750031249223,0.3333277778703688,0.4285683673688045,0.37499765626464837,0,1,2,15.0,0.189873417721519,48,53,50,63
369972,369972,500456,500457,what are the facts about martin shkreli,what is wrong with martin shkreli,0,39,33,7,6,3,13,0.23,0.7499812504687383,0.7499812504687383,0.0,0.0,0.49999166680555324,0.4285653062099113,1,1,1,6.5,0.45714285714285713,67,70,58,73
55065,55065,97118,97119,what mean by alkali,what is alkali,1,19,14,4,3,2,7,0.29,0.9999500024998749,0.6666444451851604,0.0,0.0,0.6666444451851604,0.49998750031249223,1,1,1,3.5,0.5,73,67,73,88
295531,295531,417586,417587,which company would be the best in sydney area to get friendly photo booth services,which company will provide the best photo booth in sydney,1,83,57,15,10,8,25,0.32,0.7142755103498521,0.454541322351615,0.6666444451851604,0.49998750031249223,0.6999930000699993,0.4666635555762962,0,1,5,12.5,0.2542372881355932,60,64,74,87
64935,64935,112758,112759,what was your strategy for hiring employees early on,has anyone hired a sleep coach on coach me for waking up early  what is your feedback,0,52,85,9,18,5,26,0.19,0.1666638889351844,0.09999900000999991,0.6666444451851604,0.3333277778703688,0.33332962967078145,0.18749882813232419,0,0,7,12.5,0.12962962962962962,23,45,53,59
189689,189689,288517,288518,which is correct   drove past  or  drove passed   why,is it correct to say i am in the middle of something,0,53,52,15,12,2,21,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,10.5,0.14814814814814814,42,39,38,52
191908,191908,19771,291397,carolina panthers live streaming   watch carolina panthers live stream nfl games today online,atlanta falcons live streaming   watch atlanta falcons live stream nfl games today online,0,93,89,15,15,9,22,0.41,0.818174380232907,0.818174380232907,0.0,0.0,0.6428525510532068,0.6428525510532068,1,0,0,14.0,0.4065934065934066,78,79,73,86
265660,265660,382673,382674,where does electricity come from on an airplane,where does the electricity on the airplane come from,1,47,52,8,9,7,16,0.44,0.7499812504687383,0.5999880002399952,0.6666444451851604,0.49998750031249223,0.6249921875976551,0.5555493827846357,0,1,1,8.5,0.2653061224489796,65,73,89,97
115756,115756,19879,59657,how does sex feels like,what does having sex for the first time feel like,0,23,49,5,10,3,15,0.2,0.49998750031249223,0.3333277778703688,0.9999000099990001,0.24999375015624611,0.5999880002399952,0.2999970000299997,1,0,5,7.5,0.24,56,55,58,72
84581,84581,142980,142981,what is the procedure for getting electrical supervisory certificate in india,what are the procedures to get cdc in india,0,77,43,11,9,4,20,0.2,0.3999920001599968,0.28571020413994086,0.49998750031249223,0.49998750031249223,0.4444395062277086,0.363633057881292,1,1,2,10.0,0.3111111111111111,62,68,63,65
375606,375606,64290,54223,how should i get to know  what i want to do in my life,what should i do if i do not know what i want to do with my life,1,54,64,15,17,9,25,0.36,0.5999880002399952,0.49999166680555324,0.8333194446759221,0.5555493827846357,0.5714244898250727,0.49999687501953116,1,0,2,15.0,0.21428571428571427,79,71,79,87
313136,313136,389313,437675,what are some foliated metamorphic rocks,in metamorphic rocks  where does foliation occur,0,40,48,6,8,2,14,0.14,0.24999375015624611,0.1999960000799984,0.0,0.0,0.1666638889351844,0.14285510206997043,0,0,1,6.5,0.42857142857142855,43,44,67,71
331540,331540,458435,458436,how do i save an answer on quora,how do i save an answer which i like on quora,1,32,45,8,11,8,18,0.44,0.999980000399992,0.8333194446759221,0.9999666677777407,0.7499812504687383,0.999987500156248,0.727266115762584,1,1,3,9.5,0.7058823529411765,83,76,83,100
212075,212075,242252,286021,what are some characteristics of siliciclastic sedimentary rocks,what are different types of sedimentary rocks,0,64,45,8,7,5,15,0.33,0.5999880002399952,0.5999880002399952,0.9999500024998749,0.6666444451851604,0.7142755103498521,0.6249921875976551,1,1,1,7.5,0.40425531914893614,62,59,64,78
385650,385650,517805,517806,i was in a relationship for two years  the guy is ghosting   does this mean everything he has told me was a lie,i have been seeing this guy for two years  i was the other woman  he stopped talking to me  does that mean we are done dating,0,111,125,26,29,13,48,0.27,0.4615349112699133,0.37499765626464837,0.37499531255859303,0.33332962967078145,0.3749984375065104,0.3749984375065104,0,0,0,24.0,0.1415929203539823,46,48,58,64
310403,310403,434506,434507,will google alerts ever have a web interface,is the google alerts web interface broken,0,44,41,8,7,4,15,0.27,0.49999166680555324,0.49999166680555324,0.0,0.0,0.4285653062099113,0.37499531255859303,0,0,1,7.5,0.3488372093023256,68,69,68,79
39387,39387,71403,71404,why is the national anthem played in theatres,why is the national anthem being played in theaters,1,45,51,8,9,7,17,0.41,0.7999840003199936,0.7999840003199936,0.9999666677777407,0.7499812504687383,0.874989062636717,0.7777691358984901,0,1,1,8.5,0.574468085106383,92,87,92,92
126093,126093,203307,203308,what are some comebacks to rude comments,what are some of the most sarcastic comebacks after a stupid comment,0,40,68,7,12,4,19,0.21,0.49998750031249223,0.3999920001599968,0.6666444451851604,0.28571020413994086,0.5714204082798817,0.3333305555787035,0,1,5,9.5,0.3333333333333333,67,65,67,73
209646,209646,313985,313986,why negative isomer of morphine is more potent,is it stealing if u get a paid app free after it is been removed from the appstore,0,46,82,8,18,1,24,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9,12.5,0.0625,33,36,14,26
62067,62067,108252,108253,what is the future of rural regional banks in india,how is the work environment at regional rural banks,0,51,51,10,9,5,19,0.26,0.3333277778703688,0.3333277778703688,0.6666444451851604,0.49998750031249223,0.4444395062277086,0.39999600003999963,0,0,1,9.5,0.18867924528301888,53,53,63,69
174834,174834,269341,269342,what is the meaning of christmas,what is the meaning of christmas for you,1,32,40,6,8,6,14,0.43,0.6666444451851604,0.49998750031249223,0.9999666677777407,0.7499812504687383,0.8333194446759221,0.6249921875976551,0,1,2,7.0,0.9411764705882353,89,97,89,100
125124,125124,118241,169697,should prostitution be legalized in india  why,why do social workers with experience burn out,0,46,46,8,8,1,16,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,7.5,0.0625,7,9,24,33
381822,381822,23368,8196,what are some examples of genetic drift,what is an example of genetic drift,1,39,35,7,7,4,14,0.29,0.7499812504687383,0.7499812504687383,0.3333222225925802,0.3333222225925802,0.5714204082798817,0.5714204082798817,1,1,0,7.0,0.4864864864864865,84,78,84,86
307486,307486,431159,431160,what are the best nose strips,what are some of the best ways to remove nose pimples,0,29,53,6,11,5,17,0.29,0.7499812504687383,0.49999166680555324,0.9999500024998749,0.3999920001599968,0.8333194446759221,0.454541322351615,0,1,5,8.5,0.3225806451612903,59,63,63,86
330469,330469,457246,457247,does facial asymmetry represent the lateral development of brain,are feelings  like  doubt  confusion  and uncertainty a part on the emotional spectrum,0,64,86,9,17,1,23,0.04,0.0,0.0,0.49997500124993743,0.24999375015624611,0.11110987655692715,0.07692248521165222,0,0,4,11.0,0.07575757575757576,31,37,36,22
32468,32468,59774,59775,as a woman  how can i make myself more attractive,what makes a woman attractive,0,49,29,11,5,3,16,0.19,0.24999375015624611,0.1999960000799984,0.9999000099990001,0.1999960000799984,0.3999920001599968,0.19999800001999982,1,0,5,7.5,0.3870967741935484,54,67,62,77
396785,396785,876,6313,what are your views on modi governments decision to demonetize 500 and 1k rupee notes  how will this affect economy,what are the possible implications of demonetization of 500 and 1k rupee notes,1,115,78,21,13,7,33,0.21,0.6249921875976551,0.38461242605826107,0.49998750031249223,0.28571020413994086,0.5384573964815655,0.34999825000874996,0,1,7,16.5,0.3170731707317073,51,56,55,60
71917,71917,123676,123677,what is the best way to get tinder matches to turn into tinder dates,how long did you chat on tinder with your match before setting a date,0,68,69,14,14,1,26,0.04,0.14285510206997043,0.124998437519531,0.0,0.0,0.07142806122813408,0.07142806122813408,0,0,0,14.0,0.11428571428571428,44,51,48,50
55593,55593,97991,82222,what does intercourse feel like to men,how does sex feel for a man,1,38,27,7,7,2,14,0.14,0.24999375015624611,0.1999960000799984,0.49997500124993743,0.3333222225925802,0.28571020413994086,0.28571020413994086,0,0,0,7.0,0.20689655172413793,58,53,40,50
232634,232634,342688,273853,why should i guest post,how can i do guest posting,0,23,26,5,6,2,11,0.18,0.49998750031249223,0.49998750031249223,0.0,0.0,0.3999920001599968,0.3333277778703688,0,0,1,5.5,0.44,61,62,49,49
139564,139564,135011,47356,how will india be affected if donald trump becomes the president of usa,if trump becomes president  how will it affect india,1,71,52,13,10,7,23,0.3,0.3333277778703688,0.249996875039062,0.3333222225925802,0.1999960000799984,0.33332962967078145,0.23076745563495665,0,0,4,11.0,0.2777777777777778,50,61,80,89
136328,136328,117452,217540,how can i get more views on youtube,how do i get more views in youtube,1,35,34,8,8,6,16,0.38,0.999980000399992,0.999980000399992,0.3333222225925802,0.3333222225925802,0.7499906251171861,0.7499906251171861,1,1,0,8.0,0.5,90,89,84,90
262490,262490,378836,378837,what are the differences between mols  moles  and molecules,what are some examples of diatomic molecules  how do they differ between them,0,59,77,11,14,5,24,0.21,0.3999920001599968,0.28571020413994086,0.49998750031249223,0.3333277778703688,0.4444395062277086,0.3076899408466089,0,1,4,11.0,0.18032786885245902,43,42,65,69
225386,225386,189129,112711,on roku  can i get network channels  abc  abc family  nbc  cbs  fox  cw  and view full episodes of current shows  is it free or only through subscription services like huluplus,can you watch the hallmark channel on roku,0,176,42,40,8,3,39,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,23,19.5,0.22727272727272727,22,37,29,42
249711,249711,82430,363406,what are some ways to make gold food coloring,what food coloring combination makes brown,0,45,42,9,6,3,15,0.2,0.3333277778703688,0.3333277778703688,0.0,0.0,0.3333277778703688,0.2222197531138543,0,1,3,7.5,0.3181818181818182,41,48,60,62
100609,100609,166860,166861,what is the difference between copper and aluminum wires  what are the advantages of using one over the other,can mechanical resonance be used to purify copper by removing all other components of the ore,0,109,93,20,16,4,33,0.12,0.11110987655692715,0.11110987655692715,0.28571020413994086,0.28571020413994086,0.18749882813232419,0.1578939058215483,0,0,3,17.5,0.08421052631578947,42,43,45,48
61746,61746,40230,43413,who will win the election  donald trump or hillary clinton,who will win the 2016 united states presidential election  trump or clinton,1,58,75,11,13,9,24,0.38,0.5714204082798817,0.4444395062277086,0.9999666677777407,0.9999666677777407,0.6999930000699993,0.5833284722627311,1,1,2,11.0,0.2833333333333333,65,58,64,85
387870,387870,99904,26766,why did arnab goswami resign from times now,why did arnab goswami quit times now,1,43,36,8,7,6,15,0.4,0.49999166680555324,0.49999166680555324,0.9999000099990001,0.49997500124993743,0.5714204082798817,0.499993750078124,0,1,1,7.5,0.5789473684210527,84,68,84,93
35155,35155,64280,64281,what are identifiers,what is an identifier in java,0,20,29,3,6,1,9,0.11,0.49997500124993743,0.3333222225925802,0.0,0.0,0.3333222225925802,0.1666638889351844,0,1,3,4.5,0.5,69,81,73,73
182897,182897,279808,279809,what is the strategic importance of syria,what is the strategic importance of yemen,0,41,41,7,7,6,14,0.43,0.7499812504687383,0.7499812504687383,0.9999666677777407,0.9999666677777407,0.8571306124198226,0.8571306124198226,0,1,0,7.0,0.8372093023255814,90,88,85,92
107751,107751,177200,177201,how hard is it for an undergraduate at stanford to double major in ee and ms e,a double major in engineering physics and philosophy  would it be worth it  how hard,0,78,84,17,17,7,32,0.22,0.37499531255859303,0.272724793410969,0.7499812504687383,0.37499531255859303,0.399997333351111,0.37499765626464837,0,0,1,15.5,0.225,35,30,59,57
39726,39726,71990,71991,how do i get a mini project in simple html,where can i get a full mini project under the database,0,42,54,10,11,5,21,0.24,0.5714204082798817,0.5714204082798817,0.3333222225925802,0.24999375015624611,0.4999950000499995,0.454541322351615,0,0,1,10.5,0.3181818181818182,60,63,50,65
386311,386311,354126,36459,what has been your biggest career mistake,what is your biggest mistake or regret,0,41,38,7,7,4,14,0.29,0.49998750031249223,0.49998750031249223,0.3333222225925802,0.3333222225925802,0.4285653062099113,0.4285653062099113,0,1,0,7.0,0.35,68,65,68,79
359657,359657,489336,5494,what would it feel like to be executed via guillotine  would your head have a moment or two of consciousness,did the guillotine cause instant death as the head fell in the basket,0,108,69,21,13,2,31,0.06,0.124998437519531,0.08333263889467588,0.0,0.0,0.07692248521165222,0.049999750001249996,0,0,7,16.5,0.15492957746478872,35,41,43,44
211722,211722,81661,122054,i make dollar 800 a week  how much will that be after taxes,how much money do youtubers make with 1 million views and above 10k subscribers  how much tax do they have to pay,0,59,113,14,23,4,34,0.12,0.4285653062099113,0.24999791668402763,0.0,0.0,0.24999791668402763,0.13636301653174304,0,0,10,17.0,0.18181818181818182,34,44,43,44
46773,46773,83614,83615,what is the best website for downloading free books,which is the best website to download free books,1,51,48,9,9,6,18,0.33,0.6666555557407376,0.6666555557407376,0.6666444451851604,0.6666444451851604,0.6666592593415629,0.6666592593415629,1,0,0,9.0,0.42,89,88,85,89
167853,167853,10234,34942,how do we make money online,how can i earn money easily online,1,27,34,6,7,3,13,0.23,0.7499812504687383,0.49999166680555324,0.0,0.0,0.49999166680555324,0.4285653062099113,1,1,1,6.5,0.3103448275862069,66,64,59,74
314576,314576,439325,439326,why is barrier potential needed,what is potential barrier,0,31,25,5,4,3,9,0.33,0.3333222225925802,0.24999375015624611,0.9999000099990001,0.9999000099990001,0.49998750031249223,0.3999920001599968,0,0,1,4.5,0.4074074074074074,61,62,82,89
181135,181135,28314,277550,have you ever seen ufo,have you ever seen a ufo,1,22,24,5,6,5,11,0.45,0.9999750006249845,0.9999750006249845,0.9999000099990001,0.49997500124993743,0.999980000399992,0.8333194446759221,1,1,1,5.5,0.7916666666666666,96,91,96,100
287924,287924,408777,408778,is there a great android app that let us you write concert music easily,why indian army is paid less,0,71,28,14,6,1,20,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,9.5,0.1,22,34,35,22
61449,61449,107269,107270,how long does it take to reissue an indian passport,how long does it take to renew or reissue an indian passport in mumbai,0,51,70,10,14,10,24,0.42,0.8333194446759221,0.6249921875976551,0.9999750006249845,0.6666555557407376,0.8999910000899991,0.6428525510532068,0,1,4,12.0,0.5094339622641509,84,83,84,100
111865,111865,183124,183125,what is the biggest problem with africans on quora,since hillary s abuse of her security clearance was tolerated  should anyone with a clearance still be required to sign the sf 312 nda,0,50,134,9,25,2,33,0.06,0.0,0.0,0.49998750031249223,0.2222197531138543,0.2222197531138543,0.09090867768782869,0,0,13,15.5,0.11538461538461539,26,37,27,35
333285,333285,304710,460337,which is the most powerful dog breed,what is the most powerful dog,1,36,29,7,6,5,13,0.38,0.3333222225925802,0.24999375015624611,0.9999666677777407,0.9999666677777407,0.6666555557407376,0.5714204082798817,0,0,1,6.5,0.8064516129032258,83,90,83,91
351108,351108,479922,360460,what does  recipient name  mean,what is the difference between the u s  and usa,0,31,47,7,11,2,16,0.12,0.24999375015624611,0.24999375015624611,0.0,0.0,0.1999960000799984,0.11110987655692715,0,1,4,7.0,0.15151515151515152,31,41,35,34
232156,232156,342124,342125,how do i create a massage box in asp net using c,recent inventions in india,0,48,26,12,4,1,16,0.06,0.0,0.0,0.9999000099990001,0.3333222225925802,0.24999375015624611,0.090908264470323,0,0,7,7.5,0.14285714285714285,30,37,19,27
169231,169231,2502,41685,what are the places to visit for a honeymoon in kerala,what are the best places to visit on a 3 day trip in and around kerala,1,54,70,11,16,9,27,0.33,0.7999840003199936,0.499993750078124,0.8333194446759221,0.7142755103498521,0.818174380232907,0.5999960000266665,1,1,4,13.0,0.30357142857142855,71,71,73,85
